"Longitude (x)","Latitude (y)","Station Name","Climate ID","Month","Day","Average Max. Temp. (°C)","Average Min. Temp. (°C)","Frequency of Precip. (%)","Highest Temp. (°C)","Highest Temp.Year","Highest Temp. Period","Highest Temp. Data Quality","Lowest Temp. (°C)","Lowest Temp. Year","Lowest Temp. Period","Lowest Temp. Data Quality","Greatest Precip. (mm)","Greatest Precip. Year","Greatest Precip. Period","Greatest Precip. Data Quality","Greatest Rainfall (mm)","Greatest Rainfall Year","Greatest Rainfall Period","Greatest Rainfall Data Quality","Greatest Snowfall (cm)","Greatest Snowfall Year","Greatest Snowfall Period","Greatest Snowfall Data Quality","Most Snow on the Ground (cm)","Most Snow on the Ground Year","Most Snow on the Ground Period","Most Snow on the Ground Data Quality"
"-114.02","51.11","CALGARY INT'L A","3031093","1","1","-2.7","-15.0","24.0","11.7","1962","1882-2012","","-35.6","1950","1882-2012","","12.7","1954","1882-2012","","0.0","1882","1882-2012","","12.7","1954","1882-2012","","30","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","2","-2.7","-15.1","24.0","12.2","1918","1882-2012","","-37.2","1950","1882-2012","","10.4","1951","1882-2012","","0.0","1882","1882-2012","","10.4","1951","1882-2012","","26","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","3","-2.8","-15.1","24.0","12.2","1918","1882-2012","","-37.2","1950","1882-2012","","25.4","1913","1882-2012","","0.0","1882","1882-2012","","25.4","1913","1882-2012","","23","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","4","-2.9","-15.2","24.0","15.3","2012","1882-2012","","-35.6","1966","1882-2012","","9.7","1937","1882-2012","","0.0","1882","1882-2012","","9.7","1937","1882-2012","","27","1996","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","5","-2.9","-15.3","24.0","12.1","2006","1882-2012","","-37.8","1909","1882-2012","","13.6","1989","1882-2012","","0.8","1969","1882-2012","","17.6","1989","1882-2012","","27","1996","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","6","-3.0","-15.3","24.0","16.3","2003","1882-2012","","-35.6","1930","1882-2012","","15.2","1887","1882-2012","","0.2","2006","1882-2012","","15.2","1887","1882-2012","","30","1967","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","7","-3.0","-15.3","24.0","17.6","2003","1885-2012","","-41.1","1909","1885-2012","","11.9","1949","1882-2012","","7.6","1902","1882-2012","","11.9","1949","1882-2012","","30","1967","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","8","-3.0","-15.4","24.0","15.0","1928","1882-2012","","-37.2","1909","1882-2012","","8.1","1963","1882-2012","","0.0","1882","1882-2012","","11.2","1997","1882-2012","","30","1967","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","9","-3.1","-15.4","24.0","14.4","1943","1882-2012","","-33.0","1993","1882-2012","","6.4","1889","1882-2012","","0.0","1882","1882-2012","","6.4","1889","1882-2012","","31","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","10","-3.1","-15.4","24.0","16.5","1987","1882-2012","","-35.0","1911","1882-2012","","5.1","1890","1882-2012","","0.0","1882","1882-2012","","5.4","1997","1882-2012","","36","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","11","-3.1","-15.4","24.0","14.4","1987","1882-2012","","-39.7","1997","1882-2012","","20.3","1935","1882-2012","","0.0","1882","1882-2012","","20.3","1935","1882-2012","","36","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","12","-3.1","-15.4","24.0","13.0","1986","1882-2012","","-42.2","1911","1882-2012","","3.8","1920","1882-2012","","0.3","1980","1882-2012","","3.8","1920","1882-2012","","36","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","13","-3.1","-15.4","24.0","12.3","1986","1882-2012","","-42.2","1911","1882-2012","","12.7","1896","1882-2012","","0.0","1882","1882-2012","","12.7","1896","1882-2012","","36","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","14","-3.1","-15.4","24.0","11.2","2004","1882-2012","","-37.2","1907","1882-2012","","15.2","1943","1882-2012","","4.1","1949","1882-2012","","15.2","1943","1882-2012","","33","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","15","-3.1","-15.4","24.0","13.3","1965","1882-2012","","-37.8","1896","1882-2012","","17.8","1921","1882-2012","","0.0","1882","1882-2012","","17.8","1921","1882-2012","","28","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","16","-3.1","-15.4","24.0","11.7","1965","1882-2012","","-39.4","1954","1882-2012","","5.1","1890","1882-2012","","0.0","1882","1882-2012","","5.1","1890","1882-2012","","27","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","17","-3.0","-15.3","24.0","12.2","1976","1882-2012","","-40.6","1950","1882-2012","","3.6","1924","1882-2012","","0.2","2001","1882-2012","","6.0","2007","1882-2012","","26","1956","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","18","-3.0","-15.3","24.0","14.2","2009","1882-2012","","-37.8","1935","1882-2012","","5.6","1914","1882-2012","","1.4","1977","1882-2012","","5.6","1914","1882-2012","","26","1956","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","19","-2.9","-15.2","24.0","15.4","1981","1882-2012","","-39.4","1886","1882-2012","","5.1","1920","1882-2012","","0.0","1882","1882-2012","","6.6","2008","1882-2012","","22","1956","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","20","-2.9","-15.2","24.0","16.3","1981","1882-2012","","-40.0","1886","1882-2012","","7.6","1905","1882-2012","","0.3","1963","1882-2012","","7.6","1905","1882-2012","","21","1956","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","21","-2.8","-15.1","24.0","15.0","1942","1882-2012","","-43.3","1943","1882-2012","","5.1","1897","1882-2012","","0.3","1948","1882-2012","","6.1","1965","1882-2012","","20","1956","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","22","-2.8","-15.0","24.0","14.1","1981","1882-2012","","-38.3","1886","1882-2012","","5.3","1954","1882-2012","","0.2","2007","1882-2012","","5.3","1954","1882-2012","","20","1956","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","23","-2.7","-14.9","24.0","14.4","1892","1882-2012","","-38.9","1943","1882-2012","","15.2","1937","1882-2012","","0.0","1882","1882-2012","","15.2","1937","1882-2012","","19","1956","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","24","-2.6","-14.9","24.0","13.0","2005","1882-2012","","-40.0","1954","1882-2012","","7.6","1893","1882-2012","","0.7","1978","1882-2012","","11.2","2004","1882-2012","","24","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","25","-2.5","-14.8","24.0","13.1","2007","1882-2012","","-38.6","1997","1882-2012","","10.7","1914","1882-2012","","0.3","1953","1882-2012","","12.9","1978","1882-2012","","24","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","1","26","-2.4","-14.6","24.0","13.7","1986","1882-2012","","-38.3","1916","1882-2012","","13.5","1956","1882-2012","","0.0","1882","1882-2012","","13.5","1956","1882-2012","","30","1978","1955-2012",""
