date,monitoring_location,daily_total
2018-01-01,10 Street North of 5 Ave NW,74
2018-01-01,12 Ave West of 2 St SW,34
2018-01-01,12 Ave West of 3 St SE,20
2018-01-01,12 Ave West of 8 St SW,48
2018-01-01,5 Street North of 10 Ave SW,0
2018-01-01,5 Street North of 15 Ave SW,40
2018-01-01,5 Street North of 5 Ave SW,36
2018-01-01,7 Street South of 3 Ave SW,18
2018-01-01,8 Ave West of 3 Street SW,26
2018-01-01,8 Ave West of 8 St SW,0
2018-01-01,9 Ave West of 4 Street SE,12
2018-01-01,Bow River Pathway,34
2018-01-01,Edmonton Tr North of Memorial Dr,2
2018-01-01,Inglewood Bird Sanctuary,6
2018-01-01,Lindsay Park,24
2018-01-01,Memorial Drive at 19 St NW,86
2018-01-01,Memorial Drive at Prince's Island,24
2018-01-01,North Glenmore,40
2018-01-01,Nose Creek,0
2018-01-01,Parkdale,68
2018-01-01,Peace Bridge,0
2018-01-01,River Walk,30
2018-01-01,South Glenmore,26
2018-01-01,Wetlands,2
2018-01-02,10 Street North of 5 Ave NW,54
2018-01-02,12 Ave West of 2 St SW,210
2018-01-02,12 Ave West of 3 St SE,92
2018-01-02,12 Ave West of 8 St SW,232
2018-01-02,5 Street North of 10 Ave SW,0
2018-01-02,5 Street North of 15 Ave SW,192
2018-01-02,5 Street North of 5 Ave SW,304
2018-01-02,7 Street South of 3 Ave SW,220
2018-01-02,8 Ave West of 3 Street SW,500
2018-01-02,8 Ave West of 8 St SW,0
2018-01-02,9 Ave West of 4 Street SE,56
2018-01-02,Bow River Pathway,366
2018-01-02,Edmonton Tr North of Memorial Dr,54
2018-01-02,Inglewood Bird Sanctuary,42
2018-01-02,Lindsay Park,38
2018-01-02,Memorial Drive at 19 St NW,590
2018-01-02,Memorial Drive at Prince's Island,138
2018-01-02,North Glenmore,48
2018-01-02,Nose Creek,0
2018-01-02,Parkdale,486
2018-01-02,Peace Bridge,0
2018-01-02,River Walk,276
2018-01-02,South Glenmore,66
2018-01-02,Wetlands,0
2018-01-03,10 Street North of 5 Ave NW,60
2018-01-03,12 Ave West of 2 St SW,230
2018-01-03,12 Ave West of 3 St SE,104
2018-01-03,12 Ave West of 8 St SW,258
2018-01-03,5 Street North of 10 Ave SW,0
2018-01-03,5 Street North of 15 Ave SW,240
2018-01-03,5 Street North of 5 Ave SW,352
2018-01-03,7 Street South of 3 Ave SW,234
2018-01-03,8 Ave West of 3 Street SW,506
2018-01-03,8 Ave West of 8 St SW,0
2018-01-03,9 Ave West of 4 Street SE,48
2018-01-03,Bow River Pathway,364
2018-01-03,Edmonton Tr North of Memorial Dr,70
2018-01-03,Inglewood Bird Sanctuary,50
2018-01-03,Lindsay Park,46
2018-01-03,Memorial Drive at 19 St NW,694
2018-01-03,Memorial Drive at Prince's Island,144
2018-01-03,North Glenmore,22
2018-01-03,Nose Creek,0
2018-01-03,Parkdale,576
2018-01-03,Peace Bridge,0
2018-01-03,River Walk,324
2018-01-03,South Glenmore,84
2018-01-03,Wetlands,0
2018-01-04,10 Street North of 5 Ave NW,128
2018-01-04,12 Ave West of 2 St SW,290
2018-01-04,12 Ave West of 3 St SE,116
2018-01-04,12 Ave West of 8 St SW,272
2018-01-04,5 Street North of 10 Ave SW,0
2018-01-04,5 Street North of 15 Ave SW,230
2018-01-04,5 Street North of 5 Ave SW,306
2018-01-04,7 Street South of 3 Ave SW,222
2018-01-04,8 Ave West of 3 Street SW,580
2018-01-04,8 Ave West of 8 St SW,0
2018-01-04,9 Ave West of 4 Street SE,72
